"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that products are sorted correctly from A to Z when the Name (A to Z) sorting option is selected.","4794","Verify product sorting from A to Z","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldSortProductsFromAToZ"
"Verify that the Inventory page displays exactly six products.","6712","Verify that six products are displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldDisplaySixInventoryItems"
"Verify that the total price is displayed on the Checkout Overview page before completing the order.","5610","Verify that the total price is displayed in checkout overview","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldDisplayTotalPriceInCheckoutOverview"
"Verify that the user can enter valid checkout information and continue to the Checkout Overview page.","7377","Verify navigation to the Checkout Overview page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldContinueToCheckoutOverview"
"Verify that products are sorted correctly from Z to A when the Name (Z to A) sorting option is selected.","5215","Verify product sorting from Z to A","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldSortProductsFromZToA"
"Verify that a product is successfully removed from the shopping cart when the user clicks the Remove button.","33410","Verify that an item can be removed from the shopping cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldRemoveItemFromCart"
"Verify that the product description is displayed on the product details page.","3340","Verify the product description is displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldDisplayProductDescription"
"Verify that the product image is displayed on the product details page.","5369","Verify the product image is displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldDisplayProductImage"
"Verify that a product can be removed from the shopping cart from the product details page and that the Add to Cart button is displayed afterward.","3526","Verify that a product can be removed from the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.ProductDetailsTest","Command line test","com.SauceDemo.testcases.ProductDetailsTest","shouldRemoveProductFromCart"
"Verify that the user can successfully log out of the application and is returned to the Login page.","5441","Verify successful logout","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldBeAbleToLogout"
"Verify that the product price is displayed correctly when a product is added to the shopping cart.","5889","Verify that the product price is displayed in the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldDisplayItemPriceInCart"
"Verify that clicking the Cancel button during checkout returns the user to the shopping cart page.","5739","Verify navigation back to the cart when Cancel is clicked","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldReturnToCartPageWhenCancelIsClicked"
"Verify that an order confirmation PDF can be generated successfully after completing the checkout process.","13430","Verify that the order PDF is downloaded","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldGeneratePdf"
"Verify that a user can log in successfully with valid username and password and is redirected to the Inventory page.","5354","Verify successful login with valid credentials","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.LoginTest","Command line test","com.SauceDemo.testcases.LoginTest","ShouldBeAbleToLogin"
"Verify that all product prices are displayed with the dollar currency symbol.","2171","Verify that all product prices use dollar currency","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldDisplayAllProductPricesWithDollarCurrency"
"Verify that multiple products can be added to the shopping cart and that the cart item count matches the number of products added.","2817","Verify that multiple products can be added to the cart","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldAddMultipleProductsToCart"
"Verify that products are sorted correctly by price in ascending order when the Price (low to high) option is selected.","10665","Verify product sorting by price from low to high","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.InventoryTest","Command line test","com.SauceDemo.testcases.InventoryTest","shouldSortProductsByPriceLowToHigh"
"Verify that payment information is displayed on the Checkout Overview page before completing the order.","7536","Verify that payment information is displayed","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CheckoutTest","Command line test","com.SauceDemo.testcases.CheckoutTest","shouldDisplayPaymentInformation"
"Verify that clicking the Continue Shopping button navigates the user from the shopping cart back to the Inventory page.","6838","Verify navigation back to the Inventory page","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldReturnToInventoryPageWhenContinueShoppingIsClicked"
"Verify that the shopping cart page displays the correct page title when the user opens the cart.","4939","Verify the shopping cart page title","Command line suite","2026-08-30","passed","2026-08-30","com.SauceDemo.testcases.CartTest","Command line test","com.SauceDemo.testcases.CartTest","shouldDisplayCartPageTitle"
